    1,medicine1                                        ,  2.000000,       100,tablet             ,300                ,D
    2,medicine2                                        ,  3.000000,       100,tablet             ,2mg                ,D
    3,medicine3                                        ,  4.000000,       100,injection          ,3mg                ,D
    4,dolo                                             , 30.000000,       100,tablet             ,4mg                ,A
    5,medicine5                                        ,  6.000000,       100,injection          ,5mg                ,D
    6,medicine6                                        ,  7.000000,       100,ttablet            ,6mg                ,A
    7,medicine7                                        ,  8.000000,       100,injection          ,7mg                ,D
    8,medicine8                                        ,  9.000000,       100,tablet             ,8mg                ,A
    9,medicine9                                        , 10.000000,       100,injection          ,9mg                ,D
   10,medicine10                                       ,  1.000000,       100,tablet             ,0mg                ,A
   11,medicine11                                       ,  2.000000,       100,injection          ,1mg                ,D
   12,medicine12                                       ,  3.000000,       100,tablet             ,2mg                ,A
   13,medicine13                                       ,  4.000000,       100,injection          ,3mg                ,D
   14,medicine14                                       ,  5.000000,       100,tablet             ,4mg                ,A
   15,medicine15                                       ,  6.000000,       100,injection          ,5mg                ,D
   16,medicine16                                       ,  7.000000,       100,tablet             ,6mg                ,A
   17,medicine17                                       ,  8.000000,       100,injection          ,7mg                ,D
   18,medicine18                                       ,  9.000000,       100,tablet             ,8mg                ,A
   19,medicine19                                       , 10.000000,       100,injection          ,9mg                ,D
   20,medicine20                                       ,  1.000000,       100,tablet             ,0mg                ,A
   21,medicine21                                       ,  2.000000,       100,injection          ,1mg                ,D
   22,medicine22                                       ,  3.000000,       100,tablet             ,2mg                ,A
   23,medicine23                                       ,  4.000000,       100,injection          ,3mg                ,D
   24,medicine24                                       ,  5.000000,       100,tablet             ,4mg                ,A
   25,medicine25                                       ,  6.000000,       100,injection          ,5mg                ,D
   26,medicine26                                       ,  7.000000,       100,tablet             ,6mg                ,A
   27,medicine27                                       ,  8.000000,       100,injection          ,7mg                ,D
   28,medicine28                                       ,  9.000000,       100,tablet             ,8mg                ,A
   29,medicine29                                       , 10.000000,       100,injection          ,9mg                ,D
   30,medicine30                                       ,  1.000000,       100,tablet             ,0mg                ,A
   31,medicine31                                       ,  2.000000,       100,injection          ,1mg                ,D
   32,medicine32                                       ,  3.000000,       100,tablet             ,2mg                ,A
   33,medicine33                                       ,  4.000000,       100,injection          ,3mg                ,D
   34,medicine34                                       ,  5.000000,       100,tablet             ,4mg                ,A
   35,medicine35                                       ,  6.000000,       100,injection          ,5mg                ,D
   36,medicine36                                       ,  7.000000,       100,tablet             ,6mg                ,A
   37,medicine37                                       ,  8.000000,       100,injection          ,7mg                ,D
   38,medicine38                                       ,  9.000000,       100,tablet             ,8mg                ,A
   39,medicine39                                       , 10.000000,       100,injection          ,9mg                ,D
   40,medicine40                                       ,  1.000000,       100,tablet             ,0mg                ,A
   41,medicine41                                       ,  2.000000,       100,injection          ,1mg                ,D
   42,medicine42                                       ,  3.000000,       100,tablet             ,2mg                ,A
   43,medicine43                                       ,  4.000000,       100,injection          ,3mg                ,D
   44,medicine44                                       ,  5.000000,       100,tablet             ,4mg                ,A
   45,medicine45                                       ,  6.000000,       100,injection          ,5mg                ,D
   46,medicine46                                       ,  7.000000,       100,tablet             ,6mg                ,A
   47,medicine47                                       ,  8.000000,       100,injection          ,7mg                ,D
   48,medicine48                                       ,  9.000000,       100,tablet             ,8mg                ,A
   49,medicine49                                       , 10.000000,       100,injection          ,9mg                ,D
   50,medicine50                                       ,  1.000000,       100,tablet             ,0mg                ,A
   51,medicine51                                       ,  2.000000,       100,injection          ,1mg                ,D
   52,medicine52                                       ,  3.000000,       100,tablet             ,2mg                ,A
   53,medicine53                                       ,  4.000000,       100,injection          ,3mg                ,D
   54,medicine54                                       ,  5.000000,       100,tablet             ,4mg                ,A
   55,medicine55                                       ,  6.000000,       100,injection          ,5mg                ,D
   56,medicine56                                       ,  7.000000,       100,tablet             ,6mg                ,A
   57,medicine57                                       ,  8.000000,       100,injection          ,7mg                ,D
   58,medicine58                                       ,  9.000000,       100,tablet             ,8mg                ,A
   59,medicine59                                       , 10.000000,       100,injection          ,9mg                ,D
   60,medicine60                                       ,  1.000000,       100,tablet             ,0mg                ,A
   61,medicine61                                       ,  2.000000,       100,injection          ,1mg                ,D
   62,medicine62                                       ,  3.000000,       100,tablet             ,2mg                ,A
   63,medicine63                                       ,  4.000000,       100,injection          ,3mg                ,D
   64,medicine64                                       ,  5.000000,       100,tablet             ,4mg                ,A
   65,medicine65                                       ,  6.000000,       100,injection          ,5mg                ,D
   66,medicine66                                       ,  7.000000,       100,tablet             ,6mg                ,A
   67,medicine67                                       ,  8.000000,       100,injection          ,7mg                ,D
   68,medicine68                                       ,  9.000000,       100,tablet             ,8mg                ,A
   69,medicine69                                       , 10.000000,       100,injection          ,9mg                ,D
   70,medicine70                                       ,  1.000000,       100,tablet             ,0mg                ,A
   71,medicine71                                       ,  2.000000,       100,injection          ,1mg                ,D
   72,medicine72                                       ,  3.000000,       100,tablet             ,2mg                ,A
   73,medicine73                                       ,  4.000000,       100,injection          ,3mg                ,D
   74,medicine74                                       ,  5.000000,       100,tablet             ,4mg                ,A
   75,medicine75                                       ,  6.000000,       100,injection          ,5mg                ,D
   76,medicine76                                       ,  7.000000,       100,tablet             ,6mg                ,A
   77,medicine77                                       ,  8.000000,       100,injection          ,7mg                ,D
   78,medicine78                                       ,  9.000000,       100,tablet             ,8mg                ,A
   79,medicine79                                       , 10.000000,       100,injection          ,9mg                ,D
   80,medicine80                                       ,  1.000000,       100,tablet             ,0mg                ,A
   81,medicine81                                       ,  2.000000,       100,injection          ,1mg                ,D
   82,medicine82                                       ,  3.000000,       100,tablet             ,2mg                ,A
   83,medicine83                                       ,  4.000000,       100,injection          ,3mg                ,D
   84,medicine84                                       ,  5.000000,       100,tablet             ,4mg                ,A
   85,medicine85                                       ,  6.000000,       100,injection          ,5mg                ,D
   86,medicine86                                       ,  7.000000,       100,tablet             ,6mg                ,A
   87,medicine87                                       ,  8.000000,       100,injection          ,7mg                ,D
   88,medicine88                                       ,  9.000000,       100,tablet             ,8mg                ,A
   89,medicine89                                       , 10.000000,       100,injection          ,9mg                ,D
   90,medicine90                                       ,  1.000000,       100,tablet             ,0mg                ,A
   91,medicine91                                       ,  2.000000,       100,injection          ,1mg                ,D
   92,medicine92                                       ,  3.000000,       100,tablet             ,2mg                ,A
   93,medicine93                                       ,  4.000000,       100,injection          ,3mg                ,D
   94,medicine94                                       ,  5.000000,       100,tablet             ,4mg                ,A
   95,medicine95                                       ,  6.000000,       100,injection          ,5mg                ,D
   96,medicine96                                       ,  7.000000,       100,tablet             ,6mg                ,A
   97,medicine97                                       ,  8.000000,       100,injection          ,7mg                ,D
   98,medicine98                                       ,  9.000000,       100,tablet             ,8mg                ,A
   99,medicine99                                       , 10.000000,       100,injection          ,9mg                ,D
  100,medicine100                                      ,  1.000000,       100,tablet             ,0mg                ,A
  101,medicine101                                      ,  2.000000,       100,injection          ,1mg                ,D
  102,medicine102                                      ,  3.000000,       100,tablet             ,2mg                ,A
  103,medicine103                                      ,  4.000000,       100,injection          ,3mg                ,D
  104,medicine104                                      ,  5.000000,       100,tablet             ,4mg                ,A
